section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-info,section-result-location,section-result-info 2,section-result-info 3,section-result-description
Dee-Jay Music Shop,4.5,(46),Music store,Closed today,Tabarja,,09 852 644,
Roberto & Douki Online Shop,4.8,(5),Store,Closed today,"Main Road, Haret el Mir Street, Darwich Center",,70 382 828,
V Toys,4.4,(30),Toy store,Closed today,,Open until 12:00 AM,70 224 142,
"A&S Chronora - Rolex Boutique, Old Souk Street",4.1,(34),Watch store,Temporarily closed,Fouad Chehab,Opens at 7:00 AM,09 910 980,Supermarket for groceries & more
LensPro,4.4,(7),Camera store,Closed,,Opens at 8:00 AM,70 280 359,
Claude And Talal Paint Shop,4.5,(2),Paint store,09 219 002,,Opens at 10:00 AM,Closed today,
Vintage Fashion,5.0,(9),Women's clothing store,Closed,,Opens at 10:30 AM,03 236 894,
F1 Services,4.1,(67),Tire shop,Closed,Jounieh - Beirut Hwy,Opens at 9:30 AM,09 644 447,
X-ZONE MUSIC SHOP,4.5,(61),Music store,Closed today,,Closing soon: 11:00 PM,76 501 234,Designer apparel & fragrance retailer
Dunkin' Jbeil,4.2,(398),Coffee shop,Closed today,Byblos,Open until 12:00 AM,09 547 149,
Giftastic,4.2,(9),Gift shop,Closed today,,Opens at 9:00 AM,06 201 157,On-trend apparel & accessories
OSOM organic shop,5.0,(5),Organic shop,Closed today,Byblos,Open until 12:00 AM,81 470 284,
The Baby Company,5.0,(1),Baby store,Closed today,"Jounieh, Beirut, Lebanon",,01 638 111,
Ikram Shop,5.0,(2),Home goods store,Closed today,,Opens at 9:00 AM,06 625 678,
Icare Optical Shop,4.1,(16),Optician,Closed today,,Opens at 8:00 AM,09 447 487,
MLB Electronics,4.7,(94),Electronics store,Closed today,,Open until 12:00 AM,03 886 878,
BLS,4.6,(8),Computer store,Closed today,Jounieh,Open until 12:00 AM,70 449 923,
OZZY SHOP,3.8,(11),Clothing store,Closed,,Opens at 10:00 AM,70 156 685,"Shower gels, creams, soaps & more"
Fashion Max,3.7,(3),Bag shop,Closed,,Opens at 11:00 AM,76 390 239,
Family Shop,4.1,(9),Clothing store,Closed,,Opens at 8:00 AM,06 695 515,
Soldini Shoes,3.5,(131),Shoe store,Closed,,Opens at 9:00 AM,09 917 313,
مقهى الريان - Al Rayan Coffee Shop,4.0,(16),Coffee shop,Closed today,,,76 168 335,
Starbucks,4.3,(863),Coffee shop,Closed today,,Open until 12:00 AM,01 757 164,Iconic Seattle-based coffeehouse chain
Ofeich - Hunter Republic,4.3,(52),Hunting store,Closed,,Opens at 8:00 AM,09 856 535,Supermarket for groceries & more
Azzi Sport Marine,4.1,(72),Marine supply store,Closed today,Tabarja,Opens at 8:00 AM,09 850 373,
Mike iStore,4.8,(4),Cell phone store,Closed today,Byblos,Opens at 10:00 AM,71 073 733,
1$ Shop,4.3,(3),Appliance store,Closed,,Opens at 8:00 AM,03 236 894,
Computer Concepts,3.9,(14),Electronics store,Closed,Voie 13 Centre Laura Ground Floor jbeil,Opens at 10:00 AM,09 946 363,
The Coffee House And Lounge,4.7,(121),Coffee shop,Closed today,Ehmej,Open until 1:00 AM,70 174 092,Designer apparel & fragrance retailer
Right Angle,5.0,(2),Print shop,Closed today,Blat Jbeil,Open until 12:00 AM,70 541 145,
Massoud Lingerie - Jounieh,5.0,(1),Lingerie store,Closed,Jounieh,Opens at 10:00 AM,09 914 205,On-trend apparel & accessories
AQUA SPORT,4.9,(24),Fishing store,Closed,Qalamoun,Opens at 10:00 AM,03 112 701,
FAP shop,3.8,(5),Bed shop,Closed today,,,09 545 971,
Petsmondo,4.1,(57),Pet store,Closed today,,Opens at 9:00 AM,71 370 737,
Sports Experts Co. - Feytroun Megastore,4.5,(137),Sporting goods store,Closed,,Opens at 9:00 AM,09 333 555,
The Body Shop,4.7,(94),Cosmetics store,Closed today,The Spot Choueifat,Closing soon: 11:00 PM,01 757 257,"Shower gels, creams, soaps & more"
DJ LAB Lebanon / Kaslik,4.7,(32),DJ supply store,Closed today,disc jockey music shop,Open until 12:00 AM,71 799 002,
Loqma sweet shop,3.9,(14),Dessert shop,Closed,,Closing soon: 11:00 PM,71 715 409,"Shower gels, creams, soaps & more"
Kaya Kids Space,4.9,(16),Toy store,Closed today,,Opens at 11:00 AM,09 639 170,
Secret.ink Tattoo Shop,5.0,(28),Tattoo shop,Closed today,Achkout main road Kesrouane,Opens at 8:00 AM,03 249 818,
Vivace Art and Antiques,4.3,(3),Antique furniture store,Closed today,,Opens at 9:00 AM,03 607 237,
Maison Du Ski,4.1,(136),Ski shop,Closed,,Opens at 9:00 AM,09 950 666,
adidas Factory Outlet - Jounieh,4.1,(360),Sporting goods store,Closed,Jounieh,Opens at 12:00 PM,09 638 574,Iconic Seattle-based coffeehouse chain
Foot Locker,4.3,(52),Sportswear store,Closed,The Spot Choueifat,Closing soon: 11:00 PM,01 757 252,Brand-name athletic shoes & apparel
Pembeli - Women's Clothing Shop,4.7,(10),Clothing store,Closed,,Opens at 9:29 AM,03 124 507,
1$ Shop,5.0,(1),Appliance store,Closed,Aabdeh - Halba Rd,Opens at 8:00 AM,71 073 733,
Goudar Chocolate,4.1,(22),Chocolate shop,Closed,,Opens at 11:00 AM,03 710 696,
Basic Outlet Stores,3.8,(356),Outlet store,Closed,,Opens at 10:00 AM,09 221 587,
Porky's,4.8,(48),Butcher shop,Closed,Jounieh,Opens at 8:00 AM,09 933 323,Designer apparel & fragrance retailer
Zouein Tyre and repair shop,5.0,(1),Tire shop,Closed today,Harissa Road Haret Sakher,Open until 12:00 AM,03 216 993,
Omar's Coffee Shop,3.5,(2),Coffee shop,Closed,,Open until 1:00 AM,70 584 412,On-trend apparel & accessories
Modalisa,3.9,(28),Fashion accessories store,Closed today,,Opens at 10:00 AM,70 564 399,
GoodBabies,5.0,(2),Toy store,Closed,Tripoli,Opens at 10:00 AM,06 426 388,
Alo Bebe Tripoli,4.0,(29),Baby clothing store,Closed,Tripoli,Opens at 9:30 AM,79 185 930,
Lacoste Outlet,3.1,(12),Clothing store,Closed,,Opens at 9:00 AM,09 540 992,
Giscard Mansour Tattoos,5.0,(1),Tattoo and piercing shop,Temporarily closed,Jounieh,Closing soon: 11:00 PM,03 329 202,"Shower gels, creams, soaps & more"
w.shop,3.0,(1),Clothing store,Closed today,,Open until 12:00 AM,81 359 957,
Book Shop,3.4,(5),Stationery store,Closed today,,Closing soon: 11:00 PM,71 715 409,"Shower gels, creams, soaps & more"
ECHO music shop,5.0,(2),Electronics store,09 639 170,,Opens at 11:00 AM,Closed today,
Mohamad Hasan,5.0,(28),Music store,Closed today,Tripoli,Opens at 8:00 AM,76 851 412,
Zay shop,4.3,(3),Clothing store,03 607 237,,Opens at 9:00 AM,Closed today,
T-Mobile,3.0,(3),Cell phone store,Closed,,Opens at 9:00 AM,76 077 960,
Procom & Bravenet,4.2,(32),Electronics store,Closed today,,Opens at 12:00 PM,09 545 747,Iconic Seattle-based coffeehouse chain
"Rafaat Hallab 1881, Batroun",4.1,(207),Pastries,Closed,Batroun,Opens at 7:00 AM,06 742 620,Brand-name athletic shoes & apparel
UNO Coffee Shop,5.0,(3),Coffee shop,Closed,,Opens at 7:30 AM,03 124 507,
Santa Barbara Shop,5.0,(1),Store,71 073 733,,Opens at 8:00 AM,Closed,
Kalaa Ice Cream,4.6,(42),Ice Cream,Closed,"Kalaa Street, Kaslik Sarba Jounieh",Closing soon: 11:00 PM,76 662 424,
Rafaat Hallab 1881 - حلويات رفعت الحلاّب,3.8,(19),Candy store,Closed,,Opens at 8:00 AM,06 690 351,
LC Waikiki,4.1,(308),Clothing store,Closed,,Opens at 10:00 AM,06 409 971,Designer apparel & fragrance retailer
Al-marej butcher shop / ملحمة المرج,5.0,(1),Butcher shop deli,Closed,,Opens at 7:30 AM,09 910 783,
Litchi - Clothing Shop,5.0,(1),Clothing store,Closed today,Sea Side Rd,Open until 1:00 AM,06 740 380,On-trend apparel & accessories
Rafaat hallab amioun,4.5,(10),Pastries,Closed,Koura,Opens at 7:00 AM,06 950 782,
Mike Sport,4.2,(90),Sporting goods store,Closed today,Byblos,Opens at 10:00 AM,01 888 855,
Paradis Chocolate,4.3,(6),Chocolate shop,Closed,,Opens at 10:00 AM,06 627 638,
Bee Special,4.9,(11),Chocolate shop,Closed today,Jbeil - Jounieh Hwy,Opens at 9:00 AM,09 945 565,
Douaihy Sweets - Jounieh,4.1,(79),Pastries,Temporarily closed,Jounieh,Open until 12:00 AM,09 635 900,"Shower gels, creams, soaps & more"
NAR Computers,4.2,(9),Electronics store,Closed today,,Open until 12:00 AM,03 237 048,
"Rafaat Hallab 1881, Tall Street",4.2,(33),Pastries,Closed,,Opens at 6:30 AM,06 445 820,"Shower gels, creams, soaps & more"
Noir é Blanc,4.6,(30),Chocolate shop,Closed,Tripoli,Opens at 10:00 AM,06 441 944,
white north Canada leather and fur company,5.0,(4),Leather coats store,Closed today,El Mina Tripoli,Opens at 8:00 AM,06 601 913,
Knjo Store,3.0,(2),Computer accessories store,Closed today,Tripoli,Opens at 9:00 AM,06 444 120,
Loreal shop,3.0,(3),Cosmetics store,Closed,Homs‎,Opens at 12:00 PM,+963 996 275 275,
Mike Sport,4.0,(53),Sporting goods store,Closed today,,Opens at 12:00 PM,01 888 855,Iconic Seattle-based coffeehouse chain
Cake Bake,4.7,(33),Pastries,Closed,,Opens at 6:00 AM,09 621 650,Brand-name athletic shoes & apparel
Stephano Cafe,4.3,(297),Coffee shop,Closed,Batroun,Open until 1:00 AM,06 741 272,
Chateau Fakra,4.5,(22),Wine store,Closed today,Jounieh,Opens at 8:00 AM,09 635 111,
Re Majeur,4.6,(34),Musical instrument store,Closed today,,Closing soon: 11:00 PM,03 052 656,
MAC,3.0,(2),Cosmetics store,Closed,The Spot Choueifat,Closing soon: 11:00 PM,01 757 253,
Van Belle,4.8,(23),Chocolate shop,Closed,,Opens at 9:00 AM,06 431 985,Designer apparel & fragrance retailer
Mimix Shop,5.0,(1),Clothing store,09 910 783,Chekka,Opens at 7:30 AM,Closed,
Electricity Awaidah shop,5.0,(3),Electrical supply store,Closed,,Opens at 8:00 AM,03 134 774,On-trend apparel & accessories
"Puma Store, Tchooz Shoes",4.3,(60),Sportswear store,Closed,Beirut,Opens at 10:00 AM,09 211 461,
The Quarter s.a.r.l,4.2,(23),Electronics store,Closed,,Opens at 10:00 AM,06 412 413,
Mont Blanc- Ski Shop,4.3,(6),Ski shop,Closed,,Opens at 10:00 AM,03 506 411,
Barby's Tripoli,3.3,(4),Children's clothing store,Closed today,Tripoli,Opens at 9:00 AM,06 424 650,
Hamra Shopping And Trading Sal,4.2,(118),Clothing store,Closed today,Beirut,Open until 12:00 AM,01 353 035,"Shower gels, creams, soaps & more"
Defacto tripoli,3.9,(222),Clothing store,Closed,Tripoli,Opens at 10:00 AM,06 413 231,
Havana Furniture,4.0,(5),Furniture store,Closed,,Opens at 8:00 AM,06 440 540,"Shower gels, creams, soaps & more"
Tala Shop,4.8,(6),Clothing store,Closed,,Opens at 11:00 AM,+963 933 267 978,
Mobile shop,5.0,(4),Electronics store,Closed today,Homs‎,Closing soon: 11:00 PM,+963 949 618 679,
Albustan Grocery Shop,2.9,(8),Grocery store,06 444 120,,Opens at 9:00 AM,Closed today,
rahaf Mobile shop,4.2,(23),Electronics store,Closed today,,Opens at 12:00 PM,70 270 570,
Hadeyati Shop,4.4,(16),Gift shop,Closed today,,Opens at 12:00 PM,03 327 061,Iconic Seattle-based coffeehouse chain
Ba-Loona's - balloons and gifts online,4.4,(8),Event planner,Closed,Jounieh,Opens at 3:00 PM,71 702 424,Brand-name athletic shoes & apparel
Stop & Shop,4.5,(179),Catering food and drink supplier,Closed,,Opens at 8:00 AM,04 444 225,Supermarket for groceries & more
The Body Shop,4.3,(3),Cosmetics store,Closed,Beirut,Opens at 10:00 AM,01 757 135,"Shower gels, creams, soaps & more"
Lebanon Vape Freaks,5.0,(3),Vaporizer store,Closed today,,Closing soon: 11:00 PM,70 454 229,
BEI-LE MALL DBA,3.6,(16),Clothing store,Temporarily closed,Beirut,Closing soon: 11:00 PM,01 960 150,
BOSS Menswear Shop,4.8,(23),Men's clothing store,Closed,Beirut,Opens at 10:00 AM,76 797 972,Designer apparel & fragrance retailer
Louis Vuitton Beirut,4.5,(133),Leather goods store,Closed today,Beirut,Opens at 7:30 AM,01 966 810,Luxury brand for handbags & more
Gucci,4.4,(34),Women's clothing store,Closed,Beirut,Opens at 10:00 AM,01 991 111,Luxury Italian-designed fashions
Gucci,5.0,(3),Women's clothing store,Closed,Antelias,Opens at 10:00 AM,04 717 716,Luxury Italian-designed fashions
GS Downtown,4.4,(82),Clothing store,Closed,Beirut,Opens at 10:00 AM,01 999 705,
Menbur,4.3,(6),Shoe store,Closed,"LeMall Dbayeh, local",Opens at 10:00 AM,04 406 109,
Burberry,3.8,(5),Clothing store,Closed today,Beirut,Opens at 9:00 AM,01 991 111,British luxury apparel & accessories
Lacoste,4.1,(10),Clothing store,Closed,,Opens at 9:00 AM,04 402 014,Designer polos with crocodile logos
T.C.A shop,3.9,(222),Store,Closed,,Opens at 10:00 AM,01 390 430,
The Daily Roast,3.9,(13),Coffee shop,Closed,,Opens at 8:00 AM,71 176 685,"Shower gels, creams, soaps & more"
Officine Panerai,4.8,(6),Watch store,Closed,Beirut,Opens at 10:00 AM,01 999 939,Standby for luxury Italian timepieces
Pointure,4.2,(124),Shoe store,Closed today,New Naccache Street,Closing soon: 11:00 PM,04 444 422,
Furla,2.9,(8),Fashion accessories store,Closed,Dbayeh Matn District Jounieh Highway Matn,Opens at 10:00 AM,04 403 703,
Home Centre,4.1,(17),Furniture store,Closed,,Opens at 10:00 AM,70 270 570,
Better Life Market,4.4,(37),Organic shop,Closed today,Beirut,Opens at 12:00 PM,01 328 485,Iconic Seattle-based coffeehouse chain
Salsa Jeans,4.0,(3),Clothing store,Closed,Beirut,Opens at 10:00 AM,01 960 153,Brand-name athletic shoes & apparel
BALENCIAGA,4.6,(13),Women's clothing store,Closed,Beirut,Opens at 12:00 PM,01 991 111,High-end designer fashion & accessories
Call It Spring,5.0,(1),Store,Closed,,Opens at 10:00 AM,01 757 135,Seller of trendy shoes & accessories
DEPOT-VENTE BEIRUT,4.3,(55),Vintage clothing store,Closed today,,Closing soon: 11:00 PM,03 200 620,
COS,5.0,(5),Clothing store,Closed,Beirut,Opens at 10:00 AM,01 757 264,
Jimmy Choo,4.0,(1),Shoe store,Closed,Lebanon,Opens at 12:30 PM,01 991 111 ext. 595,Designer footwear & luxury accessories
BEI-ABC ACHRAFI,4.5,(133),Clothing store,Temporarily closed,Beirut,Opens at 7:30 AM,01 201 953,Luxury brand for handbags & more
wds Shop,5.0,(1),Gift shop,Closed,Beirut,Opens at 9:00 AM,76 361 650,Luxury Italian-designed fashions
STYLORD Boutique,5.0,(1),Women's clothing store,Closed today,Pierre Gemayel Street Justice Palace Intersection Near St. Sarkis & Bakhos Church Jdeideh,Opens at 10:00 AM,70 796 999,Luxury Italian-designed fashions
"Porsche Design, ABC Dbayeh",3.0,(3),Clothing store,Closed,ضبيه,Opens at 10:00 AM,04 407 411,"Upscale fashion, luggage & accessories"
Lee,4.3,(6),Clothing store,04 406 109,,Opens at 10:00 AM,Closed,
Jaeger-LeCoultre Boutique - Beirut,2.3,(3),Watch store,Temporarily closed,Beirut,Opens at 9:00 AM,01 256 655,British luxury apparel & accessories
Iskandar Baramili music shop,4.1,(10),Music store,Closed,,Opens at 9:00 AM,01 684 912,Designer polos with crocodile logos
Camper,4.4,(9),Shoe store,Closed,Beirut,Opens at 12:00 PM,04 717 716,Contemporary footwear for adults & kids
MAC,4.0,(4),Cosmetics store,Closed,ABC Dbayeh,Opens at 10:00 AM,01 757 182,"Shower gels, creams, soaps & more"
The Body Shop,3.8,(5),Cosmetics store,Closed,City Mall,Closing soon: 11:00 PM,01 757 118,"Shower gels, creams, soaps & more"
Stay-Light Diet Center,4.0,(4),Nutritionist,Closed today,Jounieh,Closing soon: 11:00 PM,03 205 227,
Yahya Shops,4.3,(479),Fruit and vegetable store,Closed,,Opens at 10:00 AM,04 722 226,
Ted Baker,4.1,(17),Store,Closed,Dbayeh Highway Dbaiye,Opens at 10:00 AM,04 416 000,British designer clothing
Bossini Dora,4.1,(31),Clothing store,Closed today,Mirna chalouhi,Opens at 12:00 PM,70 185 558,Iconic Seattle-based coffeehouse chain
Topshop,3.8,(4),Women's clothing store,Closed,Beirut City Centre,Closing soon: 11:00 PM,01 757 088,U.K.-born retailer for apparel & shoes
Salsa Jeans,4.6,(13),Clothing store,Temporarily closed,,Opens at 12:00 PM,01 991 111,High-end designer fashion & accessories
Promod Beyrouth Kaslik,5.0,(2),Women's clothing store,Closed,,Opens at 10:00 AM,09 641 880,Seller of trendy shoes & accessories
CH Carolina Herrera,4.3,(55),Clothing store,Closed,Souk El Tawileh Beirut Souks، Beirut,Opens at 10:00 AM,01 973 698,Designer apparel & accessories for women
Zmilelee,4.9,(18),Women's clothing store,Closed today,Zalka Road,Opens at 10:00 AM,01 876 065,
Sarah's Bag,4.5,(42),Handbags shop,Closed today,"2nd floor, M'hanna building، 100 Rue Du Liban",Opens at 12:30 PM,01 575 585,Designer footwear & luxury accessories
VALENTINO,2.3,(3),Women's clothing store,Closed,Al Moutrane Street 143 Beirut 1107 2030 Beirut Downtown BEIRUT,Opens at 12:30 PM,01 991 111,Luxury brand for handbags & more
Ayoub Computers,4.5,(88),Computer store,Closed,Hadi Nasrallah Road Al Rabih bldg. Behind Labor Ministry,Opens at 8:30 AM,01 550 500,Luxury Italian-designed fashions
Hermès,4.4,(102),Leather goods store,Closed today,,Opens at 10:00 AM,01 999 710,"Designer clothing, bags & accessories"
iSTYLE Apple Premium Reseller,4.3,(102),Electronics store,Closed,Beirut City Center Mall,Opens at 10:00 AM,01 283 989,"Upscale fashion, luggage & accessories"
Ermenegildo Zegna Boutique,4.3,(6),Clothing store,Closed,"Street, 62, Abdul Malek",Opens at 12:00 PM,01 991 111,Italian-born source for men's fashion
Florsheim,4.8,(6),Clothing store,Closed today,,Opens at 9:00 AM,01 332 082,British luxury apparel & accessories
Diane Von Furstenberg,4.1,(10),Women's clothing store,Closed,Aishti by the Sea Antelias,Opens at 12:00 PM,04 717 716,Women's high-end fashions & accessories
Dior,3.9,(8),Clothing store,Closed,downtown,Opens at 10:00 AM,01 991 111,Designer fashion for men & women
Max,4.0,(185),Clothing store,Closed today,,Opens at 10:00 AM,05 956 436,"Shower gels, creams, soaps & more"
Yahya Shops,4.3,(235),Fruit and vegetable store,Closed,,Closing soon: 11:00 PM,05 470 402,"Shower gels, creams, soaps & more"
Pointure,4.3,(6),Shoe store,Temporarily closed,,Closing soon: 11:00 PM,01 336 533,
Lego,4.8,(4),Store,Closed,,Opens at 10:00 AM,01 983 682,Source for Lego building sets & more
Luisa Spagnoli,4.0,(2),Women's clothing store,Closed,"Beirut City Center, Unit # L2-95",Opens at 10:00 AM,01 283 666,British designer clothing
Tezenis,4.1,(31),Clothing store,70 185 558,El Jamil Street,Opens at 12:00 PM,Closed today,Iconic Seattle-based coffeehouse chain
Givenchy Berytus,4.6,(8),Clothing store,Closed,Berytus Building,Opens at 10:00 AM,03 669 344,U.K.-born retailer for apparel & shoes
"A&S Chronora - Rolex Boutique, Downtown Beirut",4.6,(59),Watch store,Temporarily closed,Weygand Beirut,Opens at 12:00 PM,70 999 304,High-end designer fashion & accessories
Camper,3.3,(3),Shoe store,Closed,"Hazmieh, old damascus road or Camille Chamoun boulevard",Opens at 10:00 AM,03 287 187,Contemporary footwear for adults & kids
iSTYLE Apple Authorised Reseller,3.9,(12),Computer store,Closed today,,Opens at 10:00 AM,01 440 777,Designer apparel & accessories for women
Zmilelee Outlet,4.3,(3),Clothing store,Closed today,,Opens at 10:00 AM,04 714 686,
American Vintage,4.1,(14),Men's clothing store,Closed,ABC Achrafieh Department Store Level 3,Opens at 10:00 AM,01 325 816,Designer footwear & luxury accessories
U.s. Polo Assn.,5.0,(1),Clothing store,Closed,,Opens at 10:00 AM,01 991 111,Luxury brand for handbags & more
Porsche Design,5.0,(1),Souvenir store,01 550 500,,Opens at 8:30 AM,Closed,"Upscale fashion, luggage & accessories"
Aldo,3.9,(10),Clothing store,Closed,,Opens at 10:00 AM,01 884 770,Trendy footwear & accessories retailer
Menbur,4.3,(3),Shoe store,Closed,Beirut City Center,Opens at 10:00 AM,01 291 891,"Upscale fashion, luggage & accessories"
Aldo,3.9,(44),Shoe store,Closed,,Opens at 12:00 PM,01 884 770,Trendy footwear & accessories retailer
Luisa Spagnoli,4.8,(6),Women's clothing store,Closed today,ABC Dbayeh Corner,Opens at 9:00 AM,01 212 888,British luxury apparel & accessories
Vivienne Westwood,4.1,(10),Clothing store,Closed today,Foch Street,Opens at 12:00 PM,01 971 315,Women's high-end fashions & accessories
Secret Senses by Zahar,3.7,(3),Lingerie store,Closed,"ABC Ashrafieh, ABC Verdun, ABC Dbayeh, City Centre Beirut, Saida",Opens at 10:00 AM,01 217 266,Designer fashion for men & women
Foot Locker,4.2,(42),Sportswear store,Closed,"Road, Haroun Hospital",Opens at 10:00 AM,01 757 072,Brand-name athletic shoes & apparel
Furla,4.3,(235),Fashion accessories store,Closed,Alfred Naccache,Opens at 10:00 AM,01 201 301,"Shower gels, creams, soaps & more"
Tezkarshop | Lebanon and the Middle East,4.4,(17),Wholesaler,Closed,"Hankach Street, Dawra Highway Right Turn After Mercedes Company, 14-6742",Opens at 9:00 AM,78 888 455,
MAC Cosmetics,1.0,(1),Cosmetics store,Closed,"Sassine Square, ABC Achrafieh Mall",Opens at 10:00 AM,01 203 362,Source for Lego building sets & more
Vintage Wine & Spirits,4.6,(41),Wine store,Closed today,,Opens at 10:00 AM,01 970 222,British designer clothing
Beirut Art Shop,4.1,(31),Antique furniture store,Closed today,"basta, Bachoura",Opens at 12:00 PM,03 348 977,Iconic Seattle-based coffeehouse chain
Converse,3.0,(1),Sportswear store,03 669 344,,Opens at 10:00 AM,Closed,"Mainstay for sneakers, apparel & more"
Pointure,4.6,(59),Shoe store,Closed today,"732 Center, Verdun",Opens at 12:00 PM,01 800 868,High-end designer fashion & accessories
Centrepoint,4.4,(5),Clothing store,Closed,"Centrepoint, City Mall, Dora Highway",Closing soon: 11:00 PM,01 748 031,Contemporary footwear for adults & kids
BEI-METROPOLITA,3.9,(12),Clothing store,Closed today,Horsh Tabet Roundabout,Opens at 10:00 AM,01 490 350,Designer apparel & accessories for women
Wallis,3.0,(1),Women's clothing store,Closed today,Beirut City Centre,Open until 12:00 AM,01 757 082,Stylish casual clothing for women
IWC Schaffhausen Boutique - Beirut,4.4,(11),Watch store,Closed today,"Beirut Souks, Downtown Beirut Beirut",Opens at 10:00 AM,01 256 655,Designer footwear & luxury accessories
La Perla,5.0,(1),Lingerie store,Closed,"24 Avenue du Parc, Mina El-Hosn",Opens at 10:00 AM,01 988 885,High-end designer lingerie & loungewear
LC WAIKIKI,4.2,(575),Clothing store,Closed,,Open until 12:00 AM,01 545 666,"Upscale fashion, luggage & accessories"
CHI TABI'I,4.8,(60),Organic food store,Closed today,,Opens at 10:00 AM,04 722 578,Trendy footwear & accessories retailer
The Body Shop,4.3,(3),Cosmetics store,Closed,Al Hamra Street,Opens at 10:00 AM,01 757 126,"Shower gels, creams, soaps & more"
FURLA SHOP,3.9,(44),Fashion accessories store,Closed,"Verdun Street, ABC Verdun",Opens at 12:00 PM,01 791 491,Trendy footwear & accessories retailer
Bossini Galaxy Mall,4.2,(11),Clothing store,Closed,Camil Chamoun,Opens at 10:00 AM,01 276 188,British luxury apparel & accessories
Bobbi Brown,4.0,(4),Cosmetics store,Closed today,,Opens at 12:00 PM,01 346 578,Women's high-end fashions & accessories
Andrea Wazen,4.0,(3),Shoe store,Closed today,"Mar Mikhael, 55 Pharoun Street",Opens at 10:00 AM,01 563 594,Designer fashion for men & women
Splash,5.0,(1),Clothing store,Closed,"City Mall, Dora, Dora Highway, El Bauchrieh",Closing soon: 11:00 PM,05 956 436 ext. 691,Brand-name athletic shoes & apparel
Sandro,4.3,(235),Clothing store,Closed,"Abc Mall Dbayeh, 2nd Floor, Dbayeh Highway",Opens at 10:00 AM,04 416 000,"Shower gels, creams, soaps & more"
Salsa Jeans,4.4,(17),Clothing store,Closed,,Opens at 10:00 AM,01 504 513,
Kado Ghamlouch,4.0,(205),Toy store,Closed,Michel Zakhour,Opens at 10:00 AM,01 547 447,Source for Lego building sets & more
Douaihy Sweets - Sassine Square,4.2,(141),Pastries,Closed today,Sassine Square Centre Notre Dame,Open until 12:00 AM,01 202 988,British designer clothing
Casio Service Center - Sundial Ltd.,5.0,(1),Electronics store,Closed today,Asaad Rachid Str.,Opens at 12:00 PM,04 711 894,Iconic Seattle-based coffeehouse chain
Douaihy Sweets - Zalka,4.2,(156),Pastries,Closed,Baron، Autostrade East Side Zalka towards Jounieh Centre Le,Open until 12:00 AM,01 878 886,"Mainstay for sneakers, apparel & more"
MAC Cosmetics,3.0,(1),Cosmetics store,Closed,Al Markaz,Opens at 10:00 AM,01 282 406,High-end designer fashion & accessories
Swarovski Beirut City Center,4.3,(48),Costume jewelry shop,Closed,,Opens at 10:00 AM,01 283 950,Contemporary footwear for adults & kids
Michael Kors,5.0,(1),Fashion accessories store,Closed,"Dbaye Highway Door EU3834, Store 0003",Opens at 10:00 AM,04 416 000,Classic designer apparel & bags
Adkom Apple Authorised Reseller,4.3,(194),Electronics store,Closed today,Dora,Open until 12:00 AM,01 242 666,Stylish casual clothing for women
Wallis,3.5,(2),Women's clothing store,Closed,"The Spot Chouaifet El Qoubbeh, Lebanon",Opens at 10:00 AM,01 757 250,Stylish casual clothing for women
Michael Kors,5.0,(1),Fashion accessories store,Closed,"Beirut-Ashrafiyeh-Alfred Naccache STR, Mar Mitr 2065 - Sassine Square ABC Mall Door EU3834, Store 0001",Opens at 10:00 AM,01 212 888,Classic designer apparel & bags
Home Centre,3.9,(587),Furniture store,Closed,"Future Scope, Sin el Fil, Charles Helou Street, Futuroscope building",Opens at 10:00 AM,01 748 031,"Upscale fashion, luggage & accessories"
The Body Shop,4.8,(60),Cosmetics store,Closed,ABC,Opens at 10:00 AM,01 757 263,"Shower gels, creams, soaps & more"
MAC Cosmetics,3.3,(3),Cosmetics store,Closed,Sea Side Road City Mall,Opens at 10:00 AM,01 887 284,"Shower gels, creams, soaps & more"
Miele,4.8,(16),Appliance store,Closed today,"George Haddad St., Saifi",Opens at 12:00 PM,01 999 196,Trendy footwear & accessories retailer
Centrepoint,4.0,(26),Clothing store,Closed,"Beirut City Centre, Hazmiye",Closing soon: 11:00 PM,01 748 031,British luxury apparel & accessories
Homes For Less,4.3,(40),Furniture accessories,Closed,"Facing Monoprix, Jnah",Opens at 10:00 AM,01 845 149,Women's high-end fashions & accessories
Splash,4.3,(9),Clothing store,Closed today,"Beirut city Center, Hazmieh",Closing soon: 11:00 PM,05 956 436 ext. 500,Designer fashion for men & women
Furla,5.0,(1),Fashion accessories store,Closed,,Opens at 10:00 AM,01 791 777,Brand-name athletic shoes & apparel
Douaihy Sweets - Zalka SeaSide,4.4,(212),Pastries,Closed,Beyt Douaihy Building، Autostrade Zalka towards Beirut,Opens at 10:00 AM,04 715 215,"Shower gels, creams, soaps & more"
Kipling City Center,3.9,(33),Luggage store,Closed,,Opens at 10:00 AM,01 291 891,Standby for colorful bags & luggage
Ted Baker- Beirut City Centre,4.2,(9),Clothing store,Closed,"Unit L2-68, City Centre Mall",Open until 12:00 AM,01 283 862,British designer clothing
Foot Locker,4.0,(41),Sportswear store,Closed today,City Centre,Open until 12:00 AM,01 757 089,Brand-name athletic shoes & apparel
