,tweet,username,lang
3196,ictims of mines are particularly vulnerable in times of recession and ovid  he ebarmyfficial through ebinection distributed aid to support in crisis lebanon  isabilityights positivity mineaction tayafe eaveoneehind pictwittercomnt3xeixr,arianeelmas,en
3197,"ook show with oe and imi watch us everyday on nstagram and ouube 
ont forget to visit  httpsvdeliverycom 
r call us on 75552
cook cooking show food recipes covid staysafe hotel pictwittercomkrkh",thesmallville_,en
3198,umbers are looking good especially since there were only 5 positive cases out of 855 tests carried out coronavirus ovid  pictwittercomyxkl,rudyhach,en
3199,nterviews in the time of ovid ebanon nasseryassin pictwittercomc2e7,larissaaounsky,en
3200,ne people against covid    pictwittercomplhnem,bteddinywalid,en
3201,"ovid tkritscoutslb    
 pictwittercomsv8cwd",tkritscoutslb,ar
3202,"apid test 
 hould not be done until at least 3 days after the onset of symptoms
 ill not replace but done in conjunction with 
 hile the  detects the viral rapid test detect the mmunity state
 etermine infection rate in population 
 covid  pictwittercomxpd",lamsalebanon,en
3203, obile linic makes its way to atroun annourine hekka and latbeil ore than  free  tests were administered  pictwittercomlbibk,lebamuniv,en
3204,ovid pro max  httpstwittercomstatus25333283,ritasalibaa_,en
3205,nti covid drug treatments to date  httpstwittercomricopolstatus2733855288,lamsalebanon,en
3206,"    
                                            ",slaimanjaffal,ar
3207,uring this ovid crisis  ebarmyfficial  started distributing financial aid to citizens including mine victims with the support ebinection  eaveoneehind minefree ebanon ineanreaty ebanon inebanon httpstwittercomebarmyfficialstatus257225223,arianeelmas,en
3208,"stop politicizing a pandemic isnt going to happen  hina has already pawned itself as a main savior for ovid which spread vigorously due to their lack of transparency when it st erupted 
ealth concerns will become political when  ignores accountability measures httpstwittercomredrosstatus275727335",meraymaddah,en
3209,taly aims to turn suffering to advantage with experimental ovid treatment doctors are pinning their hopes on using the blood plasma  that developed antibodies of ovid survivors to help those who are suffering most from it in hospitals now  pictwittercomfu5uu,mohammeddimashk,en
3210,ell move from facing the ovid to embracing it,elieelbouty,en
3211,ever thought d retweet something for illarylinton ut just when you think rump couldve not managed this crisis any worse e strikes you with this ovid andemic ommonenselease httpstwittercomillarylintonstatus255282,badoursa,en
3212,faceshields the new way to go better protection more durable less cumbersome  ocialistancing  faceshields for everyone,idinbeirut,en
3213,ocial justice is at the core of a good practice of medicine ovid revealed painful realities inequities injustice the poor everywhere will be more affected  am afraid to fight disease we need to fight for justice fairness equal access equal opportunities to live and thrive,idinbeirut,en
3214,ne people against covid    pictwittercomrjc3xd,bteddinywalid,en
3215,"acing ovid 
n eeling a little anxious during this period of time is normal  alking about it to a trusted person will help  
                
    
mentalhealth pictwittercomvchx",menasiba,ar
3216,ne people against ovid    pictwittercom7auhl,bteddinywalid,en
3217,ore pieces added to the puzzle ovid contacttracing household transmission thanks ermunter httpstwittercomermunterstatus255232785,idinbeirut,en
3218,oday ataeb arty leader  samygemayel held a videoconference talk with  ecretaryeneral ono where the two parties discussed the response to  the economic recovery and the general situation in ebanon  urope nhisogether pictwittercomejmnwtd,kataebib,en
3219,"hysical istancing  ocial solation 
oneliness is a killer
nosocialisolation physicaldistancing staysafe covid coronavirus  healthcare hospital lebanon beirut

 
   pictwittercoma72bak",saintgeorgehosp,ar
3220,nurses   httpstwittercomomenacultystatus257558,idinbeirut,en
3221,s trump blaming  for not working too hard to contain the virus  rumpressonf tayome  rump hatearnturingockown ingrumpspreading virus  hina blamegame coronavirus  ebanon politics stop news world ikok coronavirus,eliasfzgheib,en
3222,ery well said iad he case for access to clean water is even more pressing as  unfolds  httpstwittercomstatus25387337588,roulamajdalani,en
3223,"aroc 


   espect  pictwittercomqvhri3",youssef1___,ar
3224, edia virus  press world ealth organistaion pdates corona  reakingews  tayome rumpressonf trend trending ebanon  httpstwittercomstatus2522888323,eliasfzgheib,ar
3225,ne people against ovid    pictwittercoms8o,bteddinywalid,en
3226,ts good for my entalhealth  at the time of  piano physicianwellness edwitter httpstwittercomlamsalebanonstatus22785855752,lamsalebanon,en
3227,"        
orona
ovid  httpstwittercomstatus2538877725",jacqueline8365,en
3228,"all to book  7   
sk for our special offers 
nly here you can change your mood while alone 
otal hygiene and safety measures are being applied on daily basis to provide you a safe and enjoyable stay during this period
tayafe covid  pictwittercomcsgmo",thesmallville_,en
3229,ey you guys  riendlyistancing riendseunion friends check tayome ovid etflix  ockdown2 tv seriesnetflix series watch comedy fun merica pictwittercom3citjt8,eliasfzgheib,en
3230,"aamoul l id all 755523 r o o  httpsvdeliverycom 
amadan tayafe tayome ovid elivery otel pictwittercomfkhesj7",thesmallville_,en
3231,"he ummiest arak nab or amadan rder ours ow y alling s n 7 5 552  3 r o o  httpsvdeliverycom 
amadan tayafe tayome ovid elivery otel pictwittercomjb2e",thesmallville_,en
3232,"ansaf amadan rder ow y alling s n 7 5 552  3 r o o  httpsvdeliverycom 
amadan tayafe tayome ovid elivery otel pictwittercomi3vgx",thesmallville_,en
3233,ill oil demand ever totally recoverany curves seem to be in fact peaking opefully for the future of humanity energytransition   httpstwittercomstatus25322773,mamedlej,en
3234,"esufferalotfromadministrationlaudioordone
ethimgoandleaveusinpeace 
coronaviruscovid",4wrefbmzj6yovet,en
3235,"esufferalotfromadministrationlaudioordone
ethimgoandleaveusinpeace 
coronaviruscovid",4wrefbmzj6yovet,en
3236,"esufferalotfromadministrationlaudioordone
ethimgoandleaveusinpeace 
coronaviruscovid",4wrefbmzj6yovet,en
3237,"esufferalotfromadministrationlaudioordone
ethimgoandleaveusinpeace 
coronaviruscovid",4wrefbmzj6yovet,en
3238,ne people against covid    pictwittercominfxzzk,bteddinywalid,en
3239,"   ovid

ssociate rofessor of ood cience and echnology ussein  assan advises on how best to manage food and grocery shopping during the o2 lockdown

 httpswwwlauedulbcovidresourcescoronavirusfoodphp",lebamuniv,en
3240, obile linic live from annourine with r ichel awad dean of the ilbert and osearie hagoury chool of edicine covid  pictwittercom7eyprph,lebamuniv,en
3241, arenting tips covering  planning oneonone time staying positive creating a daily routine avoiding bad behaviour managing stress  akishachool pictwittercomokdzqt,ranakachouh,en
3242,esearchers in their battle a giant covid have found that ultraviolet  are effective to eliminate it from surfaces air  water technology technews coronavirus  httpsneurosciencenewscomcdnampprojectorgcsneurosciencenewscomcoronavirusled5amp,lamsalebanon,en
3243,"       
      
 ovid ",youmnasherry,en
3244,my two cents on releasing the lockdown test test test test test asymptomatic unsuspected randomly  identify pockets cases clusters and isolate stop id lebanon quarantine,idinbeirut,en
3245,ydroxychloroquine and   httpstwittercomrarrisstatus2575285788,lamsalebanon,en
3246,            realonaldrump oeiden ovid     pictwittercomp7sthe3,dargham,ar
3247,"o covid  ballash mn batman 
hu badna fiyon  virus ballash 3ndn",gbelaur1,ar
3248,"o lose of usiness in times like this when people are accommodating their personal lives especially if they have someone to care for and work responsibilities while home is different for each m using o nd of ay which gives flexibility
orkromome
",ramishamma,en
3249,resident realonaldrump alts  unding of orld ealth rganization  over  mismanagement claims,alitufeily,en
3250,ne people against covid    pictwittercomt7l8,bteddinywalid,en
3251,covid ,gbelaur1,en
3252,rocedures in nownuspected   22  httpsreferencemedscapecomviewarticle287srcsoctwshare via medscape,janbein,en
3253,he data includes 3883 patients with confirmed  who were admitted to intensive care units s in the  23,alitufeily,en
3254,igher ortality ate in entilated  atients  httpswwwmedscapecomviewarticle285srcsoctwshare via edscape 3,alitufeily,en
3255,ne people against covid    pictwittercomygbkhcl,bteddinywalid,en
3256,cannabis smokers are at higher risk of covid complications  cough can mimic covid coigh addiction mentalhealth coronavirus  httpswhdhcomnewssmokingweedandcoronavirusevenoccasionaluseraisesriskofcovidcomplicationsfbclidw3etjfkfecsa7dxqf2hyvoahptrlik,lamsalebanon,en
3257,"                   
  tayome ovid",youmnasherry,ar
3258,unerals going digital ovid  httpstwittercomrdeshirstatus257788,gradient_boost,en
3259,"o m3e 3 ma7a sewi ditch
ovid  wel z3ma2 they need to ditch us and never return",gbelaur1,en
3260,"   to a new economy 



usiness s hanging ts ime to e a eader and ake ction



staypositive recovery covid fliptheswitch plandontpanic business leader takeaction smallbusiness startup pictwittercomxvv",lyndamouawad,en
3261,hether you agree or you dont there are good lessons to learn from each of these leaders womenleaders   httpswwwforbescomsitesavivahwittenbergcox223whatdocountrieswiththebestcoronavirusreponseshaveincommonwomenleaders3fba3dec,mona_itani1,en
3262,ets do it ovid  cant steal that too,gbelaur1,en
3263,"     
  
  
    
     
  
     
      
   
  
 

 ovid orona taytome pictwittercomqtu5x",roubahaddad1,ar
3264, obile linic makes its way to kkaroubayat for its third national mission to run free  tests and help fight against   tests already administered and counting  pictwittercomwhe,lebamuniv,en
3265,nly a minority of the population is immune mmunity to covid is not for life it could be for one yeah only the response is variable between persons some people in outh orea have been tested positive again oronavirusandemic  httpstwittercomarvardhanstatus28277388,lamsalebanon,en
3266,uckily  dont watch   just dont ut looks like ony halifeh striked twice recently irst he irritated my dad for hosting eila bd atif nd now he literally conducted a study looking at relationship between   loodroups ee my best friends reaction pictwittercomoslr5u3m,badoursa,en
3267,"             
 
2
ovid  httpstwittercomkherlkhbarstatus2777333",ggenwa,ar
3268,"he  containment strategy is taking shape daybyday at  
he edical enter  is  
rack ost 
est ll 
reat ast
  track test treat healthcare hospital lebanon beirut coronavirus covid  pictwittercomf5nzdy",saintgeorgehosp,en
3269, does the low level of 2 in black people justify the decreased incidence of covid among such population ,soujoy18,en
3270,                     2 ovid  ,youmnasherry,ar
3271,                                  httpstwittercomtareklebanonstatus272355388,tareklebanon1,ar
3272,                                  httpstwittercomtareklebanonstatus272355388,tareklebanon1,ar
3273,"hen ppl in whereever mant2a lbnenye   realize covid  is real shit and stop arfuili m3 jiran 3al rassif

razil w bielorussia need to take covid arrest seriously abadnan ndal confined ka2an fi bajam mfakkar ovid disco aw fun",gbelaur1,en
3274,hos glorifying thr war xcept the bajam who caused it  shld get rid of him  et him glorify that and quit his majlis nouweb seat,gbelaur1,en
3275,ong story short we skip covid ,gbelaur1,en
3276,"in isolation true but i still feel like telling people to go away

ovid taytome",fouad_rahme,en
3277,       ovid,fouad_rahme,ar
3278,"e nformed  e repared  e mart  e afe  e eady o ight covid
  
ivinkayki danyayoubb
 pictwittercomrwqvt2",danyayoubb,en
3279,"uring this unprecedented time  strongly support individual initiatives to secure food for the less fortunate 
e can all work together to get out of this crisis  socialsolidarity ebanon
 pictwittercomuu",alikha,en
3280,"ntil now the best vaccine against ovid is made by  ivil ngineers  
  ",rubakaraouni,en
3281,"he idea behind the phrase compassion is contagious is to use the narratives surrounding  in promoting more human qualities in the midst of the myriad instructions from  to practice social distancing  personal hygiene
 
compassioniscontagious minds pictwittercom8r3wyrja",takminds,en
3282,"he deadly  pandemic has triggered a sinister outbreak of racism against sian communities  ubaibased brand xhale launched a campaign in collaboration with photographer waleedshahphoto  in response to the waves of racism
oronairus  minds sukounism pictwittercomeqbvt",takminds,en
3283,izarre que le ministre de la sant libanais nait toujours pas valid lutilisation des tests rapides ovid malgr leur utilisation en hine avec des rsultats spectaculaires et dans dautres pays comme lllemagne o le taux de mortalit reste lun des plus bas au monde  pictwittercommbwcar,georges_najm,fr
3284,he need to move quickly often overrides the need for oversight measures  can exacerbate corruption risks y ensuring resources intended to help the most vulnerable arent diverted into the pockets of the corrupttransparency  accountability will save lives ebanon,alikha,en
3285,"he apidestit cannot replace the  test for   oth tests are complementary 
asic explanation what the rapid test will detect antibodies g  g in reaction to viral infection  will detect the virus itselfcoronavirus  ealth pictwittercomvkinp",lamsalebanon,en
3286,"his pandemic is an exercise to

 ake do with less
 econsider our needs
 dapt to sudden change
 repare for an uncertain future
 e more selfsufficient
 eevaluate who we trust
oodorning ovid",khalilvol2,en
3287,n asterunday sraeli drones are flying over eirut ebanon ts been hours now heir noise is quite loud and daunting in a city that has a long history with them and is now in lockdown due to   pictwittercoma3f3fxo,hragavedanian,en
3288,ovid hahaha true and next is ebola since it is 22   pictwittercomsw77l,hayasabbagh96,en
3289,"oughvid app use  to determine covid patients based on the sound of the cough 

rtificialntelligence achineearning coronavirus  httpsneurosciencenewscomcdnampprojectorgcsneurosciencenewscomaicoughcoronavirus5amp",lamsalebanon,en
3290,"        
                 


ovid  pictwittercomda",fitnisalam_,ar
3291,o2 in the hospital environment nice graphic scary in fact  o2 infectioncontrol httpstwittercomenniferpicerstatus2377288,idinbeirut,en
3292,"ovid

  httpstwittercomaleyunicipalstatus2735287",elkamand,ar
3293,        ovid                ,ibrahim_alameh,ar
3294,ovid ,gbelaur1,en
3295,"                   
                   ovid  httpstwittercomstatus22833532377",sisi6226,ar
3296,"ndrea ocellis essage of ope
   ovid  
taytomendtayafe pictwittercomwrf5p3",jaroudih,ar
3297,   ovid  pictwittercomxfkux,ahmadchihadee,ar
3298,"oooo not feeaaaar but just stay heeeere tooop the spread of covid nineteeeen 

o e i  ovid  version  httpsyoutubeheo3tv via ouube",rampurple,en
3299,"oronavirus andemic ospital rontlines uring the urge acebook live  on hursday pril  by arvard chool of publichealth  coronavirus medtwitter 
 httpsfacebookcomeventsscoronaviruspandemichospital533372577tias",lamsalebanon,en
3300,"edical students residents and fellows from niversity of ashington were asked to describe ethical  practical challenges they are experienced during 

hat about you 

medstudent medtwitter coronavirus medicine  httpswwwnejmorgdoifull5p2523",lamsalebanon,en
3301,"ia ecomingar nteresting medtwitter medstudentcovid medstudent  

rayahsawaya
imassiakia
thehealthnerds
ianehanem
liufeily
aliaadani httpstwittercomecomingarstatus282372788",lamsalebanon,en
3302,ovid  season,gbelaur1,en
3303,hus time chsnged will occur  ovid  entered the equation any of them if not all if them will neutralize hy 2 negatives cancel each other fa covid  you are welcome to kill them all and seld destruct after,gbelaur1,en
3304,"   
tayome ovid staypositive 2 hisoohallass pictwittercomcnua",youmnasherry,ar
3305,ontifex  o not be afraid do not yield to fear this aster appyaster ovid  pictwittercomdu5mc8wn,dargham,en
3306,hrist s isen      ovid      ebanon tayome appyaster aster appyaster22 undayunday pictwittercomiognc,ronydebs,en
3307,"  
  
       prayforbsharri prayforbcharri   ovid elpightorona taytome tayome tbitar   prayforlebanon
  ",tamerbitar,ar
3308,"     
ovid tayome taytome orona
     pictwittercomkq77fv",rorohmostafa,ar
3309,"   
ovid orona tayome taytome
     pictwittercomky",rorohmostafa,ar
3310,ovid  httpstwittercomstronnimalstatus23782723282,alikha,en
3311,volution and progression needs breaking old habits  ovid managed to break habits and change mindsets quickly urviving this post pandemic digital revolution should be a top priority for individuals and organizations ou either adapt or sit on the sidelines   ovid,mohamadkaisi,en
3312,hank you ovid for teaching us great lessons   pictwittercomnlgbz,eliesfeir10,en
3313,ne people against covid     pictwittercom85w3tgg,bteddinywalid,en
3314,prayforbsharri prayforlebanon  elpightorona oronairuspdate  taytome tayome tbitar       bsharri love let us upload a pic for bsharri with love pictwittercom38f,tamerbitar,ar
3315,appy aster appyaster  aster aster22,eliasfzgheib,en
3316,his is the herd immunity approach he key in the statement is  millions are infected but o ot die hich is not the case with ovid,tnakkash,en
3317, for    httpstwittercomhematologymdstatus288552883,idinbeirut,en
3318,"ost ovid pandemic over half of the worlds population  of 78 billion people could be living in poverty 
  httpswwwbbccomnewsbusiness5222",ranaelhoujeiri,en
3319,"       
                        elissakh aifaehbe onyemaan
ovid",youmnasherry,en
3320,"       
                         elissakh aifaehbe onyemaan ovid ",youmnasherry,ar
3321,"repe inspiration rder now
id you hear about  httpsvdeliverycom 
he biggest online safe food delivery and catering service 
ownload the app the smallville delivery  
r go to  httpsvdeliverycom
r call 75552 
stayhome covid delivery food beirut hotel pictwittercomj5vp8t",thesmallville_,en
3322," picture worth thousands words

stayhome godbless healthcare doctors fatheranddaughter love  covid coronavirus lebanon beirut pictwittercomcx8o",saintgeorgehosp,en
3323," 
                    
                 

ovid
oronapdates2",qasimtfaili,ar
3324,"            
           
       
       
amadhassan2
ohamedehmi
assaniab
ovid",husseinezz89,ar
3325,"
             
ovid worldealthrganization  ",ihabrefae,ar
3326,        ovid                courses               ovid   pictwittercomcwbpi,ihabrefae,ar
3327,"                     
  
 ovid tayome  httpstwittercomladathstatus2272725",youmnasherry,ar
3328," new study on the type sources and claims of ovid misinformation showed that 
5 is reconfigured
3 is fabricated 
est defense is to verify question use logic and common sense especially if the info is topdown
  pictwittercom7ecdlsc",jaroudih,en
3329,appy aster  ery important message ealthorll ovid doesnt discriminate anyone ealthare shouldnt discriminate anyone orveryhild httpstwittercomredrosstatus2853532,yukiemokuo,en
3330,ind reminder to all those who advocate fervently for an  program of austerity in ebanon especially while we go through a pandemic crisis that this equates with critical social services and societal collapse  ovid  httpstwittercomjasonhickelstatus2875882228288,ritabes,en
3331,uillain barre hewe shalal bl a3sab beballish mn ta7t la fo2 so this patient ejet first 3nda shalal w ma keno 3arfin enu mmkn tkun ovid ba3d esbou3 bayyano 3nda sa3le w fever,drnajojomaa,ar
3332,         ovid  httpstwittercomebanon2status288278,yaragmh,ar
3333,th wave of  longterm impact on mentalhealth burnout octors nurses medicine medtwitter nhisogether  pictwittercom7wikakmb,lamsalebanon,en
3334,"ia  
emdesivir improves oxygensupport status in 8 of cases edd medtwitter covid medicine
healthnerds  imassiakia monicacoronelmd askamita ishamahmad mophleb amadhassan2 petrakhoury assafnicole   httpstwittercomnejmstatus28733255732",lamsalebanon,en
3335,     httpsyoutubeaf3qug,dita75,en
3336, hated hugging before   ow i just wana hug anyone,the3rd_e,en
3337,"covid

 mask a day keeps the virus away

ever leave home without it
tayome tayafe pictwittercomug",hassanemroue,en
3338, covid  pictwittercomzu,aalchik,ar
3339,"ome people are at highrisk for severe illness from 
covid coronavirus staysafe  healthcare hospital lebanon beirut

       
     pictwittercom5y35b",saintgeorgehosp,ar
3340,"      
                            
    ovid",ihabrefae,ar
3341,he ugly truth  my current survival odds seem to be linked to the common sense of others  urvivalnalysis,badoursa,en
3342, explained in ignanguage httpstwittercomebanonstatus28532838,haddadidh,en
3343,"hread by ncasenmare o beat  we need contact tracing apps ut does that mean sacrificing our right to privacy  thread explaining how we can beat  and ig rother    
 
 httpsthreadreaderappcomthread2827373888html",jaroudih,en
3344,"e will share with you daily stories with some activities to do during this lockdown nd if you miss it just check our highlight ovid 
ont hesitate to share with us any ideas  tag us on your stories  
otanaotels stayhome staysafe 
 pictwittercomjtn3b",rotana_lebanon,en
3345,he trial would involve roughly 5 or  patients across the three sites ne group would receive the drug along with normal standard of care while a second control group would receive only normal care  patients are currently receiving,alitufeily,en
3346,reatment protocol chloroquine azithromycine by aoultdidier   medtwitter edd pictwittercomfkx,lamsalebanon,en
3347,  oreans retest positive for ovid after recovery  httpswwwthestarcommynewsregional22skoreansretestpositiveforcovidafterrecoverypf7etwitter  ,lamsalebanon,en
3348,ia ews   httpstwittercomewsstatus28572735832,lamsalebanon,en
3349,ay    dont know how much longer  can take in this situation  am about to murder my family members and anyone who speaks to me  ovid,dkayssi,en
3350,cientists predict the first wave of the corona virus pandemic to end by ugust th oronairuspdates ,rudyhach,en
3351,before a skype  interview earlier today  made sure to have perfume ocialistancing   miss people,idinbeirut,en
3352,"ranszlar italyanlar ollandallar ve rkler ne yazkki rakkamlara inanmyor
eke bir platform oluturulsa ve ovid olan herkes ve virsten kayp verenler bu platforma bildirse",evrenaykul,tr
3353,o need to use ovid yo score political points  httpstwittercomwefstatus27758552,arianeelmas,en
3354,ownall f we eat something that carries the   virus will our digestive system kill the virus,selfaniz,en
3355,he end of ovid  httpswwwendingcovidcom,massaadfares,en
3356,he aftermath of the  would by itself be a massive crisis if we do not start to plan for it as of now ith 2 million fulltime workers expected to loose their jobs in the next 3 months alone hildren of the world might be at isk nicef orveyhild httpstwittercomstatus28287777,haddadidh,en
3357,"         
          

                     
ovid
",mohammedkheir90,ar
3358,"                      covid                  
 httpseditioncnncom22middleeastuscitizenslebanoncoronavirusintlindexhtml",mediacasttwiter,ar
3359,"ho is considered at highrisk for  infection 
rom the today webinar  lebaneseorderofphysician  lebanon medtwitter coronavirus  pictwittercomco8da",lamsalebanon,en
3360,i twitter  need help naming my foster puppy er mum was killed and she was found with her two siblings in the mountains of ebanon he is my ovid companion he is very gentle  gets frightened outside d like to give her a nice rabic name hat would you suggest  pictwittercomkdnri,greg_galligan,en
3361,reetaroymcf president and  of astercarddn announces the initiation of the astercard oundation  ecovery and esilience rogram  httpstwittercomreetaroymcfstatus28325277523,aubmcf,en
3362,his super womantook initiative and gave people money its what they need most in those difficult  unprecedented times  has recognized her nd yet  know about her from heailyhow nspiring   httpstwittercomheailyhowstatus2823575885553,badoursa,en
3363," httpvdeliverycom lso with every food delivery
you have the choice to donate another food delivery box to a family in need through our website in partnership with asma association bassmalb covid coronavirus food delivery tayome
eposted from thesmallvillehotel pictwittercomgyaz",thesmallville_,en
3364,"id you hear about  httpsvdeliverycom 
he biggest online safe food delivery and catering service
urry up place your order  ou have the choice to donate food to a family in need with assma 
r call 75552 
stayhome corona covid fooddelivery food beirut hotel pictwittercombdiwr2",thesmallville_,en
3365,"ealthy rice salad bowl  n  httpsvdeliverycom 
id you hear about  httpsvdeliverycom 
ownload the app the smallville delivery  
r go to  httpsvdeliverycom

r call 75552 
stayhome corona covid fooddelivery food beirut hotel pictwittercomrpm3",thesmallville_,en
3366,"ts afer n eirut hey aid 

rony 
ovd

 httpswwwcnncom22middleeastuscitizenslebanoncoronavirusintlindexhtml",layalkrm,en
3367," doctors have died  3 nurses have died so far from    corona
 httpswwwdailymailcouknewsarticle823talyreachesgrimcoronavirusmilestonethdoctordiesdiseasehtml
",lamsalebanon,en
3368,"2  ifetime chievement aureate ill ates said his foundation will invest billions to fund factories that will develop a vaccine to stop 

 oronairus illandelindaatesoundation accine  httptakreemorgnewsdetails83",takreemorg,en
3369,"n the era of   telemedicine our video about  selfassessment of disease activity by patients living with rheumatoidarthritis could not get any useful than this
o watch  share 
   httpsyoutubeop23r8dfd via ouube",autodas_meac18,en
3370,"ow to ease lockdown r acques okhbat 
 y region with massive esting
 y age group younger first
lop   congress  medtwitter edd orona  ",lamsalebanon,en
3371,582 confirmed ovid cases 2 recoveries 57 tests done so far ebanon pictwittercoms2g7l,larissaaounsky,en
3372,"ushi and ashimi now available online and fresh  
ownload the app the smallville delivery  
r go to  httpsvdeliverycom

r call 75552 
stayhome corona covid fooddelivery food beirut hotel
eposted from thesmallvillehotel pictwittercomal8",thesmallville_,en
3373,"id you hear about  httpsvdeliverycom 
he biggest online safe food delivery and catering service
onate with bassma
ownload the app the smallville delivery  
go to  httpsvdeliverycom
r call 75552 
stayhome corona covid fooddelivery food beirut hotel pictwittercombm3qh",thesmallville_,en
3374,"                                   

   
ovid
tkritscoutslb
",tkritscoutslb,ar
3375,he most important fact that ovid  proves is that hygenic is by far more important than esthetic and cosmetic  tayome  ,elchoueiry,en
3376, obile linic and  edical enterizk ospital  medical team in ripoli and gharta providing free  tests to patientscovid tayome pictwittercoms5wk,lebamuniv,en
3377,roud of our newly created andemic valuation linic and enter  along with many other innovative units focusing on fighting against  says radlohuri ebanon addressing faculty in a virtual ownall meeting faculty tayafetome pictwittercomx5kf,rimaiskandarani,en
3378,"he faces of frontline workers after wearing protective gear all day heir faces are bruised and dented hey have sores on their noses and their eyes reflect their exhaustion 
tay home for them
tay home to stop the spread of   
tayomeavesives ebanon pictwittercomkm",alikha,en
3379, and inequality  httpstwittercommalonebarrystatus28552,hragavedanian,en
3380,ne people against ovid    pictwittercomxdb,bteddinywalid,en
3381,"ir pollution is linked to a higher ovid death rate 5 higher for an increase in pollution of only  microgramsm3 in 25 particles 

corona pollution environment publichealth health
 httpsprojectsiqharvardeducovidpm
 httpsamptheguardiancomcdnampprojectorgcsamptheguardiancomenvironment22apr7airpollutionlinkedtofarhighercoviddeathratesstudyfinds pictwittercomndv",lamsalebanon,en
3382,"hread by cottottlieb
heres uncertainty how many mericans were already exposed to  and developed immunity ntil we serological testing to see who has antibodies we wont know for sure 
 httpsthreadreaderappcomthread278232333828html",jaroudih,en
3383,anek hal sha8li mohami la telta2e fe ovid,hussienkaya,ar
3384,"rong stats

ovid  according to the 

337 cases
7 deaths
2 just yesterday alone",supyoufoundjay,en
3385,  eorgeush pictwittercom5yq,alikha,en
3386,he end of ovid  httpswwwendingcovidcom,sayde_emile,en
3387,"            
   
 ",bratava45,ar
3388," stopped at kindergarten class oom call 
hy would kindergarten kids need a oom call for
r to put it in kheirallaha s favorite word whats the added value in this
  httpstwittercomjustinboldajistatus275238832",meraymaddah,en
3389," ever since  started getting serious in ebanon he professionalism along with the valuable and informative content they consistently offer is second to none
  previously",fako_23,en
3390,"                       
   

 ovid    ",tkritscoutslb,ar
3391,                                        ovid tkritscoutslb pictwittercomphdpf,tkritscoutslb,ar
3392," lebanon tayomeaveives
  pictwittercomiph53",alikha,ar
3393,re you a developer graphic designer tech entrepreneurengineer elp us develop solutions to   related problems by joining the ongoing hackaton pril 8 isit  httpwwwlebanonhackscom or contact me here  hackathon echll,rolandtannous,en
3394,"s  eading to a ental llness andemic

 httpswwwmedscapecomviewarticle278srcandroidrefshare

ent using the edscape pp for ndroid",drfouadtahan,en
3395,"      ot enough testing are done
ne of the impact hairdressers are willing to open on riday for aster astertome covid lopbeirut mophleb ebanon pictwittercom8iwth",lamsalebanon,ar
3396,"ne day  this nightmare will be over and  will see you again
 was supposed to join you soon 
tay connected tay active 
 miss you tayome anada ebanon lockdownextension wellness  entalhealth
 rom 27 pictwittercomnp",lamsalebanon,en
3397,"                    

ovid",jacqueline8365,en
3398,"e are all at risk of entalhealth  breakdown including healthcare professionals
nd eople living with mentalillness are at higher risk  edwitter healthy ebanon   httpstwittercomlamsalebanonstatus27822777878",lamsalebanon,en
3399,"ot enough tests are done in ebanon nd this is behind the low number of  cases t is a must to have more  available and better the apid est
nd ests should be
 ree
 vailable in rural regions

coronavirus corona   apidestit httpstwittercomlamsalebanonstatus2225573",lamsalebanon,en
3400,ommunity initiatives crucial for food security during  lockdown  httpsbitly2ygu via dailystarleb lebfoodbank,ronfarra,en
3401,"ovid morning 
all mornings like sunday   pictwittercom5wqqaa",gbelaur1,en
3402,s  eading to a ental llness andemic  httpswwwmedscapecomviewarticle278srcsoctwshare via medscape,drfouadtahan,en
3403,"o mudik during the  pandemic is fine for some ndonesians but not for others

he ndonesian govt should have learnt by now that inconsistent messaging only leads to confusion and misinformation that exacerbates the spread of the disease

oronairusndonesia httpstwittercomndonesiauststatus2773375773",eurasiananalyst,en
3404, am now an ommunitymmunity mbassador  am responsible to protect myself and my community from   challenge tag 3 friendsfamily to take the course  httpslearnmbruacaecoursescovid pictwittercomucr,roweidab,en
3405,hy should this pandemic end oronavirusandemic orona coronavirus ,rami_nd,en
3406,"

sport football
olidaireutrement pictwittercomu5jf282",youssef1___,en
3407,be human first  suggested reply to students when missing deadlines due to covid  httpstwittercomafterclassstatus27788358,idinbeirut,en
3408,busers need ro be contaminated with covid  and,gbelaur1,en
3409," read this somewhere ll share
ear husband  wife  ont fight each other while quarantined ou need to focus on the real enemy  ovid oronavirusandemic ockown arriage",badoursa,en
3410,"          

 witter  jack orsey onating  illion of is quity in quare to  elief fforts",jerrymahers,ar
3411,an we join attend your grand rounds and lectures on covid  suppose very important information webinars we can disseminate here,idinbeirut,en
3412,"onate and lets defeat 
ogether we are tronger
covid coronavirus  healthcare hospital frontliners lebanon helpustohelpyou pictwittercommrr",saintgeorgehosp,en
3413,e monde   contre ovid    pictwittercomj5nxlbob,bteddinywalid,fr
3414,"                        covid      
tbitar ovid oronairuspdate livelovelebanon tayome   ",tamerbitar,ar
3415,eirut eirut before and during    pictwittercombz,ramzij,en
3416,"                  
                 
 pictwittercomoipjx37",carlosnaffah,ar
3417,o let us also think of the challenges these dietitians are facing during these tough times with ovid patients,taghziyati,en
