username,time,text,tags
Rokaya Abdo Naboulsi,Aug 4,"زارتنا صباحًا امرأة، لتعزيتنا بفقيد.. دخلت علينا بالكمامة والقفازين، استغربنا المشهد بدايةً، طلبت بكل أدب وتهذيب واحترام أن تبقى المسافة ٢ متر، تقبلنا طلبها بكل أدب وحصل ما تمنّت..
 كورونا ضيفٌ ثقيل، أبعده الله عنا...
#Covid_19
#keep_social_distancing
#كورونا_لبنان","['#Covid_19', '#كورونا_لبنان', '#keep_social_distancing']"
Bato'_'ol,Aug 4,"العنوان: لبنان ينهار وبتلاقي الناس ما عم تتعزل من والسوبر ماركت  والمحلات ، و.... وكل ما نلبس كمامة بيطلعوا بعض الناس فيك كأنك عامل عملة رح ننقرض وبقلولك ما في كورونا 
ما في كورونا
#لبنان_ينهار 
#لبنانانهاروخلص 
#انقرضنا 
#مافيكورنا","['#لبنان_ينهار', '#لبنانانهاروخلص', '#مافيكورنا', '#انقرضنا']"
Sawt Beirut International,Aug 4,"وزارة الصحة: 4 حالات ايجابية على متن رحلات إضافية وصلت إلى بيروت
#كورونا_لبنان",['#كورونا_لبنان']
ناشطون,Aug 4,"في طيردبا.. وافد نتيجته سلبية نقل العدوى إلى والدته وعائلته!

https://m.facebook.com/story.php?story_fbid=1363450213850694&id=336971676498558…
#Covid_19
#كورونا_لبنان
#ناشطون","['#Covid_19', '#كورونا_لبنان', '#ناشطون']"
بوعباس وأولاده,Aug 4,"لن يعود هناك أسرّة شاغرة في المستسفيات؟
نعيش في دولة فيها مباني لوزارة الصحة مقفلة كمستشفى السكسكية الحكومي والمستشفى التركي في صيدا وغيرهما والمواطن لا يجد سرير!!
أين وعودك يامعالي الوزير 
@Hamad_hassan20
بعد فينا نعمل شي.
نعيش في وطن لايمكننا التنفس فيه دون واسطة #كورونا_لبنان",['#كورونا_لبنان']
𝓔𝓵𝓲𝓼𝓼𝓪 𝓢𝓪𝓪𝓭,Aug 4,"ليوم وبكرا فينا نبوّس 
 ، الكورونا آخد فرصة على حساب وزير الداخلية  
 #لبنان_يحتضر #لبنان_ينتفض #كورونا_لبنان #كورونا","['#لبنان_يحتضر', '#كورونا_لبنان', '#كورونا', '#لبنان_ينتفض']"
|ᏃᎬᎥᏁᎯᏰ ᏃᎬᎥᏁ| زينب زين,Aug 4,"يا شعب لبنان العظيم
الكورونا ستضربكم حتى العظم 
بما كسبت أفواهكم
#كورونا_لبنان",['#كورونا_لبنان']
عبد اللطيف عيسى,Aug 4,"طريقة دفن المتوفين بسبب كورونا معيبة بحق المتوفي ومحزنة لأهله فوق حزنهم بخسارته
من توصيات منظمة الصحة العالمية :
""يجب احترام وحفظ كرامة الموتى وتقاليدهم الدينية والثقافية وعوائلهم""
#كورونا_لبنان",['#كورونا_لبنان']
Ali Daher,Aug 4,"ارتدى الفيروس أجمل ما لديه، سرّح شعره على جنب كما كان يسرحه له جده العجوز، في حقيبته الصغيرة لوازم عطلة يومين في هذا البلد المجنون.
قرأ للمرة الأخيرة الدراسة (اللبنانية) التي أرسلت له بعنوان ٥-٢-٥ كُتب فيها: ""لديك الآن يوما عطلة"".
#كورونا_لبنان 
#لبنان_ينهار","['#كورونا_لبنان', '#لبنان_ينهار']"
Hassan Taleb,Aug 4,#كورونا_لبنان,['#كورونا_لبنان']
Alaa Sayeg - علاء الصايغ,Aug 4,"كورونا ليس بكذبة، مهما استغلّته الأنظمة القمعيّة كأداة ووسيلة.
البحث العلميّ الطبّيّ ليس مؤامرةً، ولو أنّنا نعيش بين المؤامرات.
نظامنا الصحيّ غير مؤهّل، مهما رقص وكتب الأشعار وزير صحّة المنظومة.

#تضامن_الناس ⁦
⁩
#كورونا_لبنان","['#تضامن_الناس', '#كورونا_لبنان']"
F,Aug 4,التباعد صار ضرورة مع او بدون #كورونا_لبنان,['#كورونا_لبنان']
Vrej Douzmanian,Aug 4,كل الناس صارت تعرف حدا منصاب بالكورونا! هيدا الشي كتير خطير انو كل واحد منا صار بيعرف حدا منصاب! الشغلة منتشرة وبقوة! سكروا البلد! #كورونا_لبنان,['#كورونا_لبنان']
Lobna Kassem,Aug 4,"#PCR #negative #positive
#كورونا_لبنان #حمد_حسن #وزير_الصحة","['#كورونا_لبنان', '#وزير_الصحة', '#PCR', '#positive', '#حمد_حسن', '#negative']"
Say7at,Aug 4,اسرحوا وامرحوا في لبنان... كورونا اليوم في عطلة #كورونا_لبنان  #لبنان_ينهار,"['#كورونا_لبنان', '#لبنان_ينهار']"
Mohamad Mahdi B. Mortada,Aug 4,"قعدوا بالبيوت أحسن ما تناموا على تخت بالمستشفى هيدا اذا بقي في محلاّت 
#كورونا_لبنان",['#كورونا_لبنان']
Megaphone,Aug 4,"مدير مستشفى الحريري يدقّ جرس الإنذار: الأسرّة الفارغة بدأت تنفد.

#مستشفى_الحريري #كورونا #لبنان_ينهار #لبنان","['#لبنان_ينهار', '#مستشفى_الحريري', '#لبنان', '#كورونا']"
Dina Thebian,Aug 4,ما منحمل نصير كمان بلد موبوء.. بترجاكن تكونوا اوعى.. #كورونا #لبنان_ينهار,"['#لبنان_ينهار', '#كورونا']"
#اليمن موطن الجمال,Aug 4,"صباح الجمال من 
     جزيرة سقطرى 
#yemen
#اليمن  
#لحن_الحياة

#تويتر
#مشاهير_الفلس
#كورونا
#ZimbabweanLivesMatter
#صباح_الخير
#الحلقه_الاخيره 
#فيروس_كورونا 
#لبنان_ينهار 
#ليبيا
#لا_تاخذ_حرمه_عقب_مطوع","['#لحن_الحياة', '#الحلقه_الاخيره', '#اليمن', '#مشاهير_الفلس', '#كورونا', '#فيروس_كورونا', '#لبنان_ينهار', '#ليبيا', '#yemen', '#تويتر', '#لا_تاخذ_حرمه_عقب_مطوع', '#ZimbabweanLivesMatter', '#صباح_الخير']"
Angela,Aug 4,"ما تستخف وتستهتر بصحتك و صحّة غيرك
الكورونا مش كذبة
#كورونا_لبنان 
#الصحة_مسؤولية","['#كورونا_لبنان', '#الصحة_مسؤولية']"
Andre Dagher,Aug 4,"عداكن عن الاقتصاد الزفت والحالة المعيشية يللي بالارض،والبطالة والجوع والفقر،،نحن امام كارثة صحية والدولة ""اذا وُجدت"" بعدها مصرها على فتح البلد على مصرعيه ورافضة تضرب بيد من حديد ""كمان اذا وُجدت هذه اليد""
#وزارة_الصحة 
#كورونا_لبنان 
#شعب_بلا_مخ","['#وزارة_الصحة', '#كورونا_لبنان', '#شعب_بلا_مخ']"
Rima Lahoud,Aug 4,الحضانات هيك عم تفتح باندونيسيا. #كورونا #لبنان,"['#لبنان', '#كورونا']"
nbnlebanon,Aug 4,"قصة مصابة بـ #كورونا لم يستقبلها أي مستشفى... ماذا حصل معها ؟!
https://nbntv.me/?p=250968
#كورونا_لبنان","['#كورونا_لبنان', '#كورونا']"
Harmouch Rima,Aug 4,"انتقلنا من ما خلونا إلى ما منعرف
#حسان_دياب 
#كورونا
#لبنان_ينهار","['#لبنان_ينهار', '#حسان_دياب', '#كورونا']"
Larissa Aoun,Aug 4,مستشفى الحريري الحكومي يقترب من بلوغ طاقته الاستيعابية : ٤ أسرة متبقية  للحالات الحرجة #كورونا #لبنان,"['#لبنان', '#كورونا']"
فوءاد امين قبطان,Aug 4,"https://mtv.com.lb/news/article/1084301/app?webview=true…
مدير #مستشفى_رفيق_الحريري يعطي بالارقام عدد الأسرة الباقية 
#لبنان_ينتفض #لبنان_ينهار #لبنان_يحتضر #لبنان_يجوع #لبنان_ينطفئ #لبنان_يثور #حمد_حسن #حسان_دياب #كورونا_لبنان #خليك_بالبيت
 #خليك_في_البيت","['#لبنان_يحتضر', '#لبنان_يجوع', '#لبنان_ينطفئ', '#كورونا_لبنان', '#مستشفى_رفيق_الحريري', '#خليك_بالبيت', '#لبنان_يثور', '#خليك_في_البيت', '#لبنان_ينهار', '#حسان_دياب', '#لبنان_ينتفض', '#حمد_حسن']"
Bob Ezzeddine,Aug 4,"خطة 5-2-5 هي من اجمل الخطط الدفاعية والهجومية لفريف كرة القدم. بس لي عملناها مع كورونا؟؟؟
#صباح_الخير 
#كورونا 
#لبنان","['#لبنان', '#صباح_الخير', '#كورونا']"
وكالة يونيوز للأخبار,Aug 4,"#هام
الرئيس الأول لمحاكم الإستئناف في جبل لبنان القاضي رجا خوري: إقفال قصر العدل في الجديدة ليومين بعد إصابة موظف بـ""كورونا""
#لبنان #يونيوز.","['#يونيوز', '#لبنان', '#هام']"
Karim Dbaissy,Aug 4,"فشل رئاسي، نيابي، وزاري، قضائي، اقتصادي، صحّي، بيئي، اجتماعي... 
و بيستغربو لما يعرفو انك عم تفكر تهاجر.
#لبنان #كورونا #لبنان_يحتضر","['#لبنان_يحتضر', '#لبنان', '#كورونا']"
Fawaz,Aug 4,خلينا نشوف عدد الاصابات بعطلة كورونا هل اليومين #كورونا_لبنان,['#كورونا_لبنان']
carole,Aug 4,"اصابة موظف في قلم محكمة الاستئناف في قصر عدل جديدة المتن بفيروس الكورونا وتم اتخاذ القرار باقفاله اليوم وغدا الاربعاء لتعقيمه وطلب من المحامين عدم التوجه اليه في هذين اليومين 
#صباح_الخير #كورونا #لبنان","['#لبنان', '#صباح_الخير', '#كورونا']"
Mamdouh Obeid,Aug 4,"قدم إستقالتك يا وزير الصحة 
@Hamad_hassan20
 أنت فاشل في إدارة الأمن القومي الصحي الشعب اللبناني يموت على ابواب المستشفيات بعدما بلغت المستشفيات قدرتها الاستيعابية القصوى وبات بالتالي غير قادرة على استقبال أي إصابة . #كورونا_لبنان",['#كورونا_لبنان']
reine,Aug 4,"هلق عنجد خفوا شوي عن مستشفى رفيق الحريري، ومش مزح كل المصابين عم ينزلوا لتحت وكأن نحنا بالصين 
لمهم اليوم وبكرا مافي #كورونا 
#لبنان","['#لبنان', '#كورونا']"
"Dr. Nizar Dalloul, PhD",Aug 4,"هيدا اللي عالطالعة والنازلة بقلك الكورونا مش مزحة
طيب ايمتا شفتنا ضحكنا عليها
#كورونا 
#لبنان 
#صباح_الخير","['#لبنان', '#كورونا', '#صباح_الخير']"
تيار العزم,Aug 4,"https://azmtayyar.org/Public/NewsAzm/417391/…
هاشم اتصل بذوي حمود معزيا: شهيدة الواجب الوطني والانساني في مواجهة كورونا
#لبنان، #أخبار_لبنانية","['#أخبار_لبنانية', '#لبنان']"
HN,Aug 4,"بلشت الكورونا عطلة يومين! شي كم يوم و منشوف الارقام يلي بتثبت وعي الشعب
#كورونا_لبنان",['#كورونا_لبنان']
Youssef Kleib,Aug 4,"عم بقولوا إنو قريبا"" جاي موجة كورونا ثالثة وأقوى بكثير رح تكون !! 
بس مش هون المشكلة ... 
المشكلة إنو يمكن يسكروا البلد يومين، يفتحوا ويك آند، يرجعوا يسكروا البلد 4 ساعات ونص ...
#صباح_الخير #كورونا #لبنان","['#لبنان', '#صباح_الخير', '#كورونا']"
maha zein,Aug 4,"تعددت الأسباب، والموت حق..
لكن الإستهتار والإستخفاف بفيروس أنهكَ الصحة وقطاعاتها في أعتى الدول قُدرةً وإمكانات،لن تكون عواقبه إلا المزيد من النعوش والدموع..
حمى الله الجميع 
#كون_واعي 
#كورونا_مش_مزحة 
#Covid_19 
#كورونا_لبنان 
#صباح_الخير","['#Covid_19', '#كورونا_لبنان', '#كون_واعي', '#كورونا_مش_مزحة', '#صباح_الخير']"
Hitaf Bou Reslan,Aug 4,"#كورونا #لبنان بدأ ""السيناريو السيئ"" ...مستشفى""الحريري"" بلغ طاقته القصوى و""أُقفل"" أمام المصابين","['#لبنان', '#كورونا']"
World Stars Mag,Aug 4,"وجيه صقر ووالدته ينتصران على كورونا

التفاصيل على الرابط التالي

http://worldstarsmag.com/2020/08/03/وجيه-صقر-ووالدته-ينتصران-على-كورونا/
@wajihsakr
 @LebaneseActor
 @LBCelebrityNews
 @LbCelebritiesFp
 #worldstarsmag #وجيه_صقر #كورونا #كورونا_لبنان #كوفيد_١٩ #كورونا_المستجد","['#وجيه_صقر', '#كوفيد_١٩', '#worldstarsmag', '#كورونا_لبنان', '#كورونا', '#كورونا_المستجد']"
@hmad k,Aug 4,أول عآخر بدو يفتح البلد ما فيك تعمل حالة إغلاق تام و تتفرجى عالإقتصاد و البلد عم ينهار المشكلة بوعي الشعب و المغتربين و تصرفاتهم اللا مسؤولة.... أما عن فتح البلد فهو شر لا بد منه لإن ممكن تصير الكورونا واقع مر  لازم نتعايش معه بالوعي و الانضباط و التقيد بالوقاية #كورونا_لبنان,['#كورونا_لبنان']
D/\\/,Aug 4,"#كورونا_لبنان سكرت طريق الجية والبحرية و طريق السعديات 
#صباح_الخير","['#كورونا_لبنان', '#صباح_الخير']"
Jeanne,Aug 4,#كورونا_لبنان معطِّل ل يومين إستفيدوا يا قوم ,['#كورونا_لبنان']
Channel 23,Aug 4,"""كورونا"" لبنان بدأ ""السيناريو السيئ"" ...""الحريري"" بلغ طاقته القصوى و""أُقفل"" أمام المصابين",[]
Elsiyasa | السياسة,Aug 4,"""كورونا"" لبنان: بدأ ""السيناريو السيئ""؟",[]
Hala Sab El Leil,Aug 4,"#كورونا_لبنان
نحيطكم علمآ  تم اخذ تعهد من #فايروس_كورونا 
بعدم نزول #لفايروس لشوارع  وتسوق.مؤسسة.او مكان مزدحم. 
تحت طائلة لمسؤولية 
لحين انتهاء لأزمات كوارث الأعياد مهرجانات لسابقة واللاحقة 
فيما تم #لسماح اكورونا تجول قرب #معابر لحدود.ومطارات وكنائس ولمساجد. فقط لا غير","['#لسماح', '#كورونا_لبنان', '#معابر', '#فايروس_كورونا', '#لفايروس']"
New Lebanon -لبنان الجديد,Aug 4,"أخصائية: هذا ما يتوجب فعله بعد التعافي من كورونا
#لبنان_الجديد

https://bit.ly/39RQwAu",['#لبنان_الجديد']
Daad Kasamani,Aug 4,"في الصين خزنوا حالن في البيت دون مونة وعنا خزنوا المونة في البيت 
ودايرين في الشوارع
 #كورونا_لبنان",['#كورونا_لبنان']
Mhd DA,Aug 4,"خي بكرا ما في كورونا
 #كورونا_لبنان",['#كورونا_لبنان']
Muhammed salah,Aug 4,"اليوم weekend بالنسبة للكورونا  ؟ 

#كورونا_لبنان",['#كورونا_لبنان']
tarek,Aug 4,#كون_واعي #كورونا_لبنان #لبنان,"['#كورونا_لبنان', '#لبنان', '#كون_واعي']"
,,,[]
هادي فؤاد ياسين,Aug 4,"منظر جنازة وجثمان المتوفي بفايروس كورونا منظر صعب وقاسي جدًّا. 
ما بعرف كيف عم يمر مرور الكرام عند كتير ناس!
ما حدا مستثنى من النار، حتى لو أنت ما قربت ممكن شي جاهل يكبك فيها أنت وعيلتك بغبائه.
#كورونا_لبنان 
#زينب_حيدر","['#زينب_حيدر', '#كورونا_لبنان']"
Rami Rajeh,Aug 3,"تسكير عل العيد، كرمال ابو مشط #حسان_دياب ما يتبهدل بصلاة العيد. تسكير هل الاسبوع كرمال ردات الفعل على المحكمة الدولية... ولما عرفوا شو ممكن يطلع ب٧ آب، صار مطروح منع تجول...لا #كورونا_لبنان ولا من يحزنون 
 #العهد_القوي","['#كورونا_لبنان', '#حسان_دياب', '#العهد_القوي']"
alien007,Aug 3,"بكرا مسموح الاعراس خطفا و يلا 
#كورونا_لبنان",['#كورونا_لبنان']
Rawad.Abboud,Aug 3,"طيب مش عم تعرفوا تحاربوا الفساد، نظموه
#لبنان_ينتفض #لبنان_ينهار #كورونا_لبنان 
#دولار #مازوت","['#دولار', '#كورونا_لبنان', '#لبنان_ينهار', '#لبنان_ينتفض', '#مازوت']"
Мохамад 7ajj شحادة,Aug 3,"-حسن: سنوصي باقفال عام لمدة 15 يوماً في حال كان التقييم لأيام الاقفال سلبياً.

EDEN BAY عم يضحك بالزاوية على هيدا القرار قبل ما يطلع! 
@HAMAD_HASSAN20
@mophleb
#لا_داعي_للهلع #سنموت_بعد_قليل #كورونا_لبنان #منظمة_الصحة_العالمية #فيروس_كورونا","['#سنموت_بعد_قليل', '#لا_داعي_للهلع', '#كورونا_لبنان', '#منظمة_الصحة_العالمية', '#فيروس_كورونا']"
Salam Hammoud,Aug 3,"Replying to 
@ImaneIbrahim1",[]
Zeze Baydoun,Aug 3,التزم بالاجراءات وارتدي الكمامة #كون_واعي #لبنان #كورونا_لبنان #كورونا,"['#كورونا_لبنان', '#لبنان', '#كون_واعي', '#كورونا']"
Aya Meselmani,Aug 3,"#Covid_19 
#كورونا_لبنان 
#فيروس_كورونا","['#Covid_19', '#كورونا_لبنان', '#فيروس_كورونا']"
Assaad Toukh,Aug 3,#كورونا #لبنان_ينهار,"['#لبنان_ينهار', '#كورونا']"
هادي فؤاد ياسين,Aug 3,"في الوقت الذي طال فيروس كورونا المواطنين العاديين الممرضين والأطباء، نرى بعض أشباه البشر منتشرين في كل مكان بداعي الرفاهية السخيفة دون أدنى حس مسؤولية أو سبل الوقاية الضرورية وغير مبالين بصحتهم وصحة من حولهم.
#زينب_حيدر شهيدة الواجب، الضمير المهني والإنسانية. 
 #كورونا_لبنان","['#زينب_حيدر', '#كورونا_لبنان']"
Jay π,Aug 3,"Replying to 
@kikisemaan1",[]
Hiba Androon,Aug 3,"اطلاقا
#وزارة_الصحة
#كورونا_لبنان
#Covid_19","['#وزارة_الصحة', '#كورونا_لبنان', '#Covid_19']"
Foochia - فوشيا,Aug 3,"كورونا ينهي حياة ممرضة لبنانية.. هكذا أصيبت بالفيروس

#كورونا #فيروس_كورونا #لبنان #اهتمامات #وفاة","['#اهتمامات', '#كورونا', '#فيروس_كورونا', '#وفاة', '#لبنان']"
زينة..,Aug 3,"ما خبرتونا كيف كانت الأعراس والخطبة والحفلات والضهرات....
4000  إصابة بعيون الحساد يا رب
#كورونا_لبنان",['#كورونا_لبنان']
سنا',Aug 3,"١٧٧ إصابة.

_لماذا أراك في كُلِّ شيء؟
#كورونا #لبنان","['#لبنان', '#كورونا']"
جنوبية | Janoubia,Aug 3,"هل ستتخذ الحكومة قرارا بالإقفال في هذا الوقت؟!

#كورونا #لبنان #جنوبية #janoubia","['#janoubia', '#جنوبية', '#لبنان', '#كورونا']"
Fadel,Aug 3,"#كورونا_لبنان
يا عمي الكورونا ب لبنان بعدها أرحم من : 
١- رائحة الزبالة المتخمرة التي تفوح من المطامر والمكبات المنتشرة في كل لبنان التي تسبب  أمراض خطيرة
٢ - دخان معامل الكهربا يلي (تسبب سرطان  الرئة)
٣ - دخان الباصات الغير مراعية للشروط البيئية (تسبب سرطان رئة)",['#كورونا_لبنان']
Marwa,Aug 3,"قال الكورونا بي ٤ و ٥ آب بتكون عاملي break واو شو حلو يعني منعمل مشاريع بي هل two days 
#كورونا_لبنان 
#دولتنا_المحترمة
#قانون_لبنان_العظيم","['#كورونا_لبنان', '#قانون_لبنان_العظيم', '#دولتنا_المحترمة']"
zhe2na 2refna,Aug 3,شوبها #كورونا_لبنان ما في شي ولو العالم بالمجمعات البحرية وعجقة عادي في كلور ما بيأسر ووزير بيسمح بعرس وبيطلع ينق والتاني بيعمل ضبط ولجنة مش عارفة شو بدها تاخد اجراءات ما البلد لازم يمشي لانو دولتنا خرا وبينقو اوعا ونتبهو ولك تووووووووت فيكون شعب وسياسية وبلد,['#كورونا_لبنان']
Fatima Abdallah,Aug 3,"الله يرحم #زينب_حيدر 
شو قاسية الحياة، وشو قاسي مشهد دفن ضحية #كورونا. زينب بكّرت وتركت في داخلنا الإنساني كتير أسى. ولا مرة خفت من كورونا قد هلق. الله يحمي الجميع ويصبّر أهلها. ولا أصعب من هيك لحظة 
#كورونا_لبنان","['#زينب_حيدر', '#كورونا_لبنان', '#كورونا']"
abbas hamdan,Aug 3,"حتى من الازمة تنزل سليم
التزم سبل الوقاية 
#كورونا_لبنان",['#كورونا_لبنان']
fofa,Aug 3,"#خبر_عاجل
غادر السيد كورونا لبنان قبل قليل إلى الخارج عبر الهواء في زيارة خاصة تستغرق يومين على ان يعود الخميس 
فافعلوا ما تشاؤون",['#خبر_عاجل']
Sara Chang,Aug 3,"Dashboard updated for 3 August #كورونا_لبنان #Lebanon #COVID19 / 320,607 total tests; 5,062 total cases; 177 new cases today; 3,160 active cases; 40 currently in ICU; 1,837 total recoveries; 65 total deaths.

For more details: https://infogram.com/lebanon-covid-19-dashboard-1h7g6k3z3jpo2oy?live…","['#كورونا_لبنان', '#Lebanon', '#COVID19']"
Beirut Tweets,Aug 3,"١٧٧ حالة #كورونا_لبنان اليوم ٣ اغسطس ٢٠٢٠.. 
الجمهورية اللبنانية - وزارة اﻹعلام - الموقع الرسمي لمتابعة أخبار فيروس الكورونا في لبنان",['#كورونا_لبنان']
mazen khaled,Aug 3,"طرابلس مليانة #كورونا بس ما حدا بده يعمل فخص خوفاً من الحجر او من الدفع 
#كورونا_لبنان","['#كورونا_لبنان', '#كورونا']"
Larissa Aoun,Aug 3,توزيع الاصابات اليومية ال ١٧٧ حسب المناطق #كورونا #لبنان,"['#لبنان', '#كورونا']"
Dr. Khaldoun Abdel Samad,Aug 3,"ايمتا بدكن تنزلوا على الساحات ؟؟؟؟؟ غنم
 
#Covid_19 
#كورونا 
#لبنان_ينتفض 
#لبنان 
#غنم","['#Covid_19', '#كورونا', '#لبنان_ينتفض', '#غنم', '#لبنان']"
hawraa yassin,Aug 3,"عند هذه اللحظة لا كلام يمكنه ان يعبر عن حجم الخسارة الى رحمةِ الله يا رحمة الله
#Covid_19 
#كورونا_لبنان 
#زينب_حيدر  وداعا","['#زينب_حيدر', '#Covid_19', '#كورونا_لبنان']"
Hicham Rustom,Aug 3,"عم بي شيعو واحد نصاب ٣ 

#كورونا_لبنان",['#كورونا_لبنان']
Elie Waked,Aug 3,"#كورونا_لبنان ارتفاع عدد الحالات الحرجة في العناية المركزة من 34 الى 40 بالرغم من وفاة ٣ اشخاص كانوا في العناية.... هيدا يلي عم بتحذر منو مستشارة رئيس الحكومة للشؤون الطبية ""بيترا خوري"" ومدير مستشفى الحريري ""فراس أبيض ""... فهل من يسمع؟؟
@petra_khoury
  @firassabiad",['#كورونا_لبنان']
حركة أمل,Aug 3,"التقرير اليومي لفيروس كورونا ""كوفيد -19""
التاريخ: الإثنين 3 آب 2020
#حركة_أمل
#كورونا_لبنان
#خليك_بالبيت
#وطنك_بيتك
#كورونا","['#وطنك_بيتك', '#كورونا_لبنان', '#كورونا', '#خليك_بالبيت', '#حركة_أمل']"
COVID-19 LB,Aug 3,"COVID-19 daily report for Monday, August 03, 2020:

177 new people tested positive for COVID-19 out of 5865 tests, distributed between 159 local residents and 18 returning expats, increasing the total number of cases to 5062. ⁧⁧#كورونا_لبنان",['#كورونا_لبنان']
,Aug 3,"استهتار مقصود من السلطة والنظام الحاكم أدى الى انتشار الوباء بشكل كبير وذلك لإلهاء الناس بالمرض في ظل الأزمة المعيشية التي يمر بها الوطن
#كورونا_لبنان",['#كورونا_لبنان']
𝓐𝓛𝓘,Aug 3,"حياة اهلك و عيلتك مش لعبة بين ايديك 
فكر كذا مرة بالبتحبن و البتخاف عليهم اذا ما بدك تفكر بحالك و #خليك_بالبيت
 
#كورونا_لبنان 
#COVID19","['#كورونا_لبنان', '#خليك_بالبيت', '#COVID19']"
nbnlebanon,Aug 3,"وزارة الصحة اللبنانية: تسجيل 177 إصابة جديدة بـ #كورونا 
https://nbntv.me/?p=250841
#كورونا_لبنان","['#كورونا_لبنان', '#كورونا']"
Sajed Makkeh,Aug 3,"مع تضاعف أعداد المصابين بكورونا و وصولنا لعتبة ال٥٠٠٠ مصاب، لازلنا نشهد استهتارًا كبيرًا من #الشعب_اللبناني، ما ينم عن قلّةٍ في الوعي لدى كثيرين، فلا يجوز لهؤلاء عند إذن محاسبة أي أحد على الوضع المزري الذي نحن مقبلون عليه
#كورونا_لبنان","['#كورونا_لبنان', '#الشعب_اللبناني']"
𝕳𝖆𝖉𝖞 𝕲𝖍𝖆𝖓𝖉𝖔𝖚𝖗,Aug 3,الفرق بين المؤمن بالعلم والجاهل المتخلف كمامة #كورونا #كورونا_لبنان,"['#كورونا_لبنان', '#كورونا']"
abou ali,Aug 3,"أعلنت وزارة الصحة العامة في تقريرها اليومي، ""تسجيل 177 حالة جديدة مُصابة بفيروس ""كورونا"" المستجد (كوفيد 19)، ليرتفع العدد التراكمي للإصابات منذ 21 شباط الماضي إلى 5062 حالة
#كورونا
#لبنان","['#لبنان', '#كورونا']"
Laila Saab,Aug 3,"Replying to 
@Samer_Eldine",[]
Mohamad Mahdi B. Mortada,Aug 3,"إذا كفيّنا بالإستهتار اللي عم يصير بعد عشرين يوم رح يكون عنا ١٠ آلاف إصابة كورونا ب لبنان و المستشفيات المخصصة لمعالجة الحالات رح توصل لطاقة الإستيعاب القصوى ، ٢٠ يوم بتفصلنا عن بداية الكارثة ، للأسف شعب مستهتر و حكومة مفشكلة و وزير صحة داير يعطي تصاريح للأعراس!

#كورونا_لبنان",['#كورونا_لبنان']
moh,Aug 3,177 اصابة جديدة الإجمالي 5062 حالة و3  وفيات ليرتفع الى 65 وفاة #كورونا_لبنان,['#كورونا_لبنان']
coronavirus فرع لبنان,Aug 3,"ما تنسو الشرمو** يا ولاد الكمامة 
#كورونا 
#كورونا_لبنان","['#كورونا_لبنان', '#كورونا']"
المجلس الصحي الكتائبي,Aug 3,"Poor but not irresponsible 
#covid19 
#كورونا_لبنان","['#كورونا_لبنان', '#covid19']"
Tony Saliba,Aug 3,١٧٧ اصابة جديدة بفيروس كورونا رفعت العدد ل ٥،٠٦٢ و ٣ حالات وفاة رفعت العدد ل ٦٥ #كورونا #لبنان,"['#لبنان', '#كورونا']"
Roy Araygi,Aug 3,"صورة من كورنيش ميناء طرابلس مهداة الى وزير الداخلية بمناسبة عيد الأضحى بعنوان: 
                               ""التشدّّد الردعي""
@M_MohamedFehmi
 @Hamad_hassan20
#كورونا
#لبنان
#محمد_فهمي 
#5_2_5
https://pic.twitter.com/0L7ScC1oXN","['#محمد_فهمي', '#5_2_5', '#لبنان', '#كورونا']"
HaSan San #علقوا_المشانق,Aug 3,"حظر التجول يللي عم توصّي فيه لجنة متابعة #كورونا لازم يكون ٢٤ ساعة متل بدول الخليج سابقاً، غير هيك ما رح ينفع معنا أبداً!!!
#كورونا_لبنان","['#كورونا_لبنان', '#كورونا']"
fatima nour eddine,Aug 3,"أقل التقديرات بتقول في ١٥٠٠٠ مريض حيكونوا بحاجة لمكنة التنفس ..
في عنا ١٢٠٠٠ سرير بالمستشفيات ..
أقل التقديرات بتقول في ٤٥٠٠٠ مريض حيكون بحاجة لدخول المستشفى ..
#للنشر_رجاءاً
حافظ عاروحك وروح عيلتك وما تستهتر #كورونا_مش_مزحة 
#كورونا 
#لبنان","['#للنشر_رجاءا', '#لبنان', '#كورونا', '#كورونا_مش_مزحة']"
العربي الجديد-عاجل,Aug 3,"#عاجل | وزارة الصحة اللبنانية: تسجيل 3 حالات وفاة و177 إصابة جديدة بفيروس #كورونا

#لبنان
#معاً_نعزل_كورونا","['#معا', '#لبنان', '#كورونا', '#عاجل']"
العربي الجديد,Aug 3,"#عاجل | وزارة الصحة اللبنانية: تسجيل 3 حالات وفاة و177 إصابة جديدة بفيروس #كورونا

#لبنان
#معاً_نعزل_كورونا","['#معا', '#لبنان', '#كورونا', '#عاجل']"
Nicholas Frakes | نيكولاس فرايكس,Aug 3,"#Lebanon has broken 5,000 #COVID19 cases with 177 new cases in the last 24-hours. There were also three additional deaths. The total number of cases is now 5,062 and 65 deaths. In July, Lebanon's cases more than doubled. #CoronaVirusUpdate #كورونا #كورونا_لبنان","['#Lebanon', '#كورونا_لبنان', '#كورونا', '#CoronaVirusUpdate', '#COVID19']"
لبيك يا حسين (ع),Aug 3,#عاجل - كورونا لبنان - بعد الارتفاع القياسي... 177 إصابة جديدة بالفيروس,['#عاجل']
Annahar,Aug 3,"""مانشيت النهار"" - كورونا لبنان: 10 آلاف مصاب نهاية آب؟",[]
